Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-2.75859142285254E-05,-0.000104207218332248,0.0172928688142053,0,0,0,0.417452234706223,0.000333396991894573,5.94878242917767E-07,-1.21247386023343E-07,0.00035826311440984,2.09340981470396E-07,0.00064684763519889,0,0,0,0,0,0,package://Panthera-HT_ros_description/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Panthera-HT_ros_description/meshes/base_link.STL,,FollowArm_Base_Link-2,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.00278872740711474,-0.000943872602641842,0.0249184207544734,0,0,0,0.281015564621024,0.000316955803556386,-4.87378886287236E-08,1.79963207018842E-05,0.000160300977160843,-1.03615090920538E-07,0.000314890832534944,0,0,0,0,0,0,package://Panthera-HT_ros_description/meshes/link1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Panthera-HT_ros_description/meshes/link1.STL,,FollowArm_Link1-1,link1,axis1,joint1,revolute,0,0,0.0583999999999998,0,0,0,base_link,0,0,1,21,4.2,-3.14,3.14,,,,,,,,
link2,-0.127874428299138,8.72403886309694E-05,0.000412025406986191,0,0,0,0.801269164605592,0.000250295111073388,-1.55731586913606E-07,9.0506773771628E-06,0.00254457348251959,-4.75884133376158E-08,0.00238892993630639,0,0,0,0,0,0,package://Panthera-HT_ros_description/meshes/link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Panthera-HT_ros_description/meshes/link2.STL,,FollowArm_Link2-1,link2,axis2,joint2,revolute,0.01819851171331,0,0.0530000000000001,0,0,0,link1,0,-1,0,36,5,-3.14,3.14,,,,,,,,
link3,0.136223175135798,-0.000637925941948632,0.050565162008587,0,0,0,0.475722305214963,0.000184138793979243,5.40819173441128E-07,0.000241867615180957,0.0017158866583361,2.23603904688658E-07,0.00158836514604262,0,0,0,0,0,0,package://Panthera-HT_ros_description/meshes/link3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Panthera-HT_ros_description/meshes/link3.STL,,FollowArm_Link3-1,link3,axis3,joint3,revolute,-0.260000000000013,0,0,0,0,0,link2,0,-1,0,36,5,-3.14,3.14,,,,,,,,
link4,0.0423062138347752,-0.000932722191063041,0.0327107333881792,0,0,0,0.195001989866771,0.000126042990391443,6.58019099377231E-07,3.04793954832573E-05,0.000108592572789435,3.51491935068094E-07,0.000169453267647007,0,0,0,0,0,0,package://Panthera-HT_ros_description/meshes/link4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Panthera-HT_ros_description/meshes/link4.STL,,FollowArm_Link4-1,link4,axis4,joint4,revolute,0.230000000000047,0,0.0599999999998046,0,0,0,link3,0,-1,0,21,4.2,-3.14,3.14,,,,,,,,
link5,0.00160683516415749,6.79633875466845E-05,-0.0336032463223481,0,0,0,0.12430830912048,3.74201768096057E-05,-5.46799571927557E-09,-2.812036834892E-07,2.72646521487935E-05,1.9259051853967E-07,3.2629936966737E-05,0,0,0,0,0,0,package://Panthera-HT_ros_description/meshes/link5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Panthera-HT_ros_description/meshes/link5.STL,,FollowArm_Link5-1,link5,axis5,link5,revolute,0.0700000000000039,0,0.0363191374382403,0,0,0,link4,0,0,1,10,3.7,-3.14,3.14,,,,,,,,
link6,0.00401514505901393,6.20990099834009E-12,0.000474375879817551,0,0,0,0.0117700336566226,1.06278987602693E-06,-1.408290640097E-16,-8.45076721551372E-09,6.89511050733381E-07,8.88092354894224E-16,5.92167077146844E-07,0,0,0,0,0,0,package://Panthera-HT_ros_description/meshes/link6.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://Panthera-HT_ros_description/meshes/link6.STL,,FollowArm_Link6-2/L6_A-1,link6,axis6,joint6,revolute,0.0234500000000102,0,-0.0389999999999331,0,0,0,link5,1,0,0,10,3.7,-3.14,3.14,,,,,,,,
L_finger,-0.0685513053302154,0.016863783322054,-0.000510235194009112,0,0,0,0.127457990512492,2.28803355388289E-05,-4.20099870625022E-06,3.42841892600761E-07,5.15650351948172E-05,-5.67310171712257E-10,4.64985980845229E-05,0,0,0,0,0,0,package://Panthera-HT_ros_description/meshes/L_finger.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Panthera-HT_ros_description/meshes/L_finger.STL,,L_finger-1,L_finger,finger_axis,L_finger_joint,continuous,0.164999999999982,0,0,0,0,0,link6,0,-1,0,0,0,0,0,,,,,,,,
R_finger,-0.0685513053307259,-0.0168637833221451,0.000510464525338844,0,0,0,0.127457990511979,2.28803355389148E-05,4.20099870615578E-06,-3.42841892362391E-07,5.15650351903219E-05,-5.67310157866966E-10,4.64985980799091E-05,0,0,0,0,0,0,package://Panthera-HT_ros_description/meshes/R_finger.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://Panthera-HT_ros_description/meshes/R_finger.STL,,R_finger-1,R_finger,finger_axis,R_finger_joint,continuous,0.165,0,0,0,0,0,link6,0,-1,0,0,0,0,0,,,,,,,,
gripper_centor,-0.124818615882779,-4.88421114370448E-05,-3.8373269199643E-05,0,0,0,0.0960375427712166,9.09311609578797E-05,2.21893449480774E-09,-4.1053650775334E-09,1.13385601698219E-05,4.83664470143672E-08,8.46740055322188E-05,0,0,0,0,0,0,package://Panthera-HT_ros_description/meshes/gripper_centor.STL,0.866666666666667,0.909803921568627,1,1,0,0,0,0,0,0,package://Panthera-HT_ros_description/meshes/gripper_centor.STL,,FollowArm_Link6-2/hightorque3536-1;FollowArm_Link6-2/Gripper-Arm_Connect_A-1;FollowArm_Link6-2/Gripper_Connect_A-1;FollowArm_Link6-2/hex_socket_flat_head_M3x08-1;FollowArm_Link6-2/hex_socket_flat_head_M3x08-3;FollowArm_Link6-2/hex_socket_flat_head_M3x08-4;FollowArm_Link6-2/hex_socket_flat_head_M3x08-2;FollowArm_Link6-2/MGN9 Rail-1,gripper_center,,gripper_center_joint,fixed,0.165,0,0,0,0,0,link6,0,0,0,,,,,,,,,,,,
